Remote_Dep_Ct,Remote_Dep_Amt,OnlineWallet_Tx,OnlineWallet_Dollars,DigLogins_UniqDays,DigLogins_TotalLogins,DebitCard_Tx,DebitCard_Spend,Alerts_enrolled,engament score
0,0.0,25,1241.1599999999999,105,181,2696,52341.600000000006,6,48.08641648364741
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,7,11,0,0.0,12,32.16510761697182
0,0.0,0,0.0,0,0,684,22797.1,0,5.333631198519804
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
1,125.0,45,813.55,38,53,3,6.39,30,60.97102618168144
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,78,100,0,0.0,0,15.961079844661255
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,7,8,0,0.0,0,9.684349980491728
0,0.0,0,0.0,75,107,276,1846.8899999999999,0,17.673560743421838
0,0.0,16,2465.85,37,48,2005,180030.88,0,22.353759108954947
0,0.0,0,0.0,4,4,1,5.94,6,26.648374226371192
0,0.0,0,0.0,19,25,0,0.0,12,33.99569477341634
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,57,76,2576,67601.88,12,38.48191203557342
0,0.0,0,0.0,70,103,276,7962.73,18,41.798995400718866
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,47,1432.35,27,68,701,24069.460000000003,0,26.933556474889375
0,0.0,0,0.0,32,38,0,0.0,12,35.18433233658958
0,0.0,17,2650.5,105,221,2387,73413.45999999999,1,39.49190737059573
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
3,2580.0,0,0.0,75,157,0,0.0,0,23.597066861508758
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,24,31,0,0.0,0,12.33469335785019
0,0.0,0,0.0,7,7,0,0.0,18,34.9965429064453
0,0.0,6,266.77,23,28,0,0.0,5,35.354289210215654
2,1005.08,6,1881.17,67,91,935,25899.91,6,47.92470915215836
0,0.0,0,0.0,2,3,0,0.0,0,8.160185855171473
0,0.0,0,0.0,20,22,0,0.0,0,11.699349234703726
3,2100.0,0,0.0,8,14,1,147.0,0,16.81020638465089
0,0.0,0,0.0,15,16,0,0.0,12,33.2394603196792
0,0.0,11,1823.99,53,87,702,90229.65,4,37.84695147545047
0,0.0,0,0.0,26,35,20,66.1,12,35.642018737073
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,20,26,0,0.0,0,11.896427093522817
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,49,71,162,42485.869999999995,0,12.43497640984111
0,0.0,0,0.0,0,0,26,8990.02,0,3.355348833391961
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,11,11,357,34692.229999999996,24,37.39654046575065
0,0.0,0,0.0,5,6,642,8132.0,0,10.841218155014053
0,0.0,0,0.0,0,0,954,40478.75,0,5.021528365442013
0,0.0,0,0.0,0,0,0,0.0,18,30.188905869009695
0,0.0,77,6230.43,0,0,877,63310.270000000004,0,20.39481538847638
6,3197.0,54,896.42,107,156,0,0.0,0,38.75062401120321
0,0.0,0,0.0,11,11,0,0.0,0,10.359147013102186
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,22,3982.0,0,3.9756959688117455
1,100.0,19,1295.69,7,7,9,123.21,6,42.12249803819191
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,13,15,0,0.0,0,10.82031438363521
0,0.0,8,2132.99,33,41,4,58.03,0,22.101038228560533
0,0.0,0,0.0,16,19,36,7462.43,6,27.851034819278187
3,1337.01,34,1218.54,69,91,1959,56009.520000000004,0,34.905916221572426
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,2,2,0,0.0,66,47.13309909263237
0,0.0,10,7771.16,62,121,121,2185.5,0,27.487402947133383
0,0.0,1,96.04,13,16,1026,55916.170000000006,30,44.73980720534083
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,1408,27392.11,0,6.331143609364222
3,65.15,1,100.0,73,92,1767,94547.33,0,25.747843190140937
0,0.0,0,0.0,46,62,0,0.0,12,36.44085061211559
0,0.0,2,520.0,48,61,626,31586.54,12,41.90833785827402
0,0.0,86,2595.7999999999997,105,140,1815,73329.79000000001,30,63.362951374754196
0,0.0,0,0.0,12,20,0,0.0,0,11.04561852830588
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
3,872.0,46,4758.62,79,94,1672,63765.450000000004,60,74.98902731202048
0,0.0,0,0.0,0,0,0,0.0,6,22.394415164647725
0,0.0,0,0.0,0,0,0,0.0,6,22.394415164647725
0,0.0,18,824.7099999999999,0,0,338,3692.71,0,15.770615450317306
7,1293.56,5,193.17000000000002,0,0,1538,103685.4,0,18.91833101576837
0,0.0,0,0.0,35,43,24,517.14,0,13.639613602841047
0,0.0,39,2365.58,32,47,2202,103560.78,6,43.679622997826456
2,3928.13,51,8534.03,48,164,5574,115218.31,26,68.61656986073152
1,700.0,11,285.36,68,188,509,9561.21,9,50.82619423612222
0,0.0,4,390.0,0,0,2,501.49,0,10.486609233332436
0,0.0,0,0.0,0,0,0,0.0,12,26.975430824799414
3,9800.45,23,4098.3,23,35,2106,83106.35,11,53.43872111870412
0,0.0,0,0.0,38,46,7,772.8799999999999,0,13.182774053703591
0,0.0,0,0.0,0,0,0,0.0,6,22.394415164647725
0,0.0,0,0.0,14,16,0,0.0,18,36.38088565638972
0,0.0,0,0.0,1,1,0,0.0,12,29.48866134805742
0,0.0,0,0.0,5,7,0,0.0,0,9.31661192016838
4,472.19,0,0.0,0,0,193,5053.71,0,12.466144179006765
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,9,163.4,0,5.07769143349303
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
1,453.0,46,2334.33,69,91,3959,101764.28,0,34.979191057517376
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,11,540.52,15,16,1827,111544.81999999998,6,36.34932400783697
10,13740.67,7,520.0,101,177,1132,50687.83,6,53.014820925787504
0,0.0,9,446.19,63,98,1197,20174.190000000002,0,24.853697500435977
0,0.0,0,0.0,2,2,0,0.0,6,25.56088720413879
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,8,350.66999999999996,38,67,270,1200.6599999999999,0,23.21372962594229
8,1982.5,39,4545.900000000001,108,216,1527,70457.41,6,58.576598184266295
0,0.0,11,530.25,17,21,6,145.35,6,37.43631109094832
0,0.0,0,0.0,30,36,0,0.0,0,12.818093964149814
0,0.0,0,0.0,0,0,196,8261.99,0,4.924632685577375
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,65,6658.9,133,344,2910,90527.03,6,54.37692033038735
0,0.0,24,1071.77,81,149,468,2149.45,6,47.18795318532065
0,0.0,0,0.0,5,5,9,99.03,12,31.700649789234056
0,0.0,0,0.0,4,5,0,0.0,54,45.570561738494824
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,140,289,0,0.0,12,41.76821832563016
0,0.0,0,0.0,0,0,222,9429.810000000001,0,4.923535192625575
0,0.0,0,0.0,121,252,1651,49566.74,12,42.030951141943504
0,0.0,44,1060.91,32,45,759,22228.06,0,26.265704402795574
0,0.0,0,0.0,30,34,0,0.0,20,39.06927552846028
0,0.0,2,450.0,32,41,1887,75969.55,0,18.87656456735475
0,0.0,6,200.4,66,92,1545,86279.14000000001,0,21.724146876622136
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,47,4823.97,40,49,2372,99705.65,0,28.16418104454926
0,0.0,32,1176.8,60,99,754,21288.66,6,45.30279172419519
5,236.0,1,40.0,34,43,256,10262.189999999999,0,24.635729474553287
3,740.42,0,0.0,30,46,280,15524.34,4,34.98721976018626
0,0.0,0,0.0,0,0,1277,54629.369999999995,0,5.032492622666744
4,2999.0,0,0.0,36,63,346,12580.880000000001,12,43.89333370985174
0,0.0,0,0.0,32,36,1164,51421.92,12,35.308850968175086
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,1,405.0,99,174,2058,86293.19,12,44.710785204699405
0,0.0,11,704.12,62,85,1812,57969.72,6,42.08176104062146
0,0.0,0,0.0,8,9,0,0.0,30,40.03231006053308
0,0.0,0,0.0,36,62,347,14549.539999999999,0,14.067460939972527
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,11,17,-39,-464.0,30,40.25456209205938
0,0.0,38,566.0,0,0,821,15646.510000000002,0,17.447714514409512
0,0.0,0,0.0,0,0,0,0.0,6,22.394415164647725
0,0.0,0,0.0,93,169,2320,60670.17,6,36.32548096965626
11,4247.86,61,1123.02,66,104,1404,40540.66,0,40.38271650221218
0,0.0,0,0.0,20,27,1090,28199.230000000003,0,12.983138211631934
17,4374.61,0,0.0,86,189,736,28607.53,0,29.562042812345915
0,0.0,0,0.0,1,1,0,0.0,6,24.90764568790573
0,0.0,0,0.0,10,11,0,0.0,0,10.269781171612756
0,0.0,0,0.0,0,0,59,1939.88,0,5.026972767556355
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
1,155.03,39,10475.99,142,523,3009,188676.86,6,57.63350214203093
5,3385.0,4,665.0,50,67,456,22153.04,0,29.03376752519751
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,2,0.02,24,36,0,0.0,0,16.09303704528066
0,0.0,7,9350.0,17,24,188,1019.74,0,23.635448783475084
1,82.1,23,1257.99,19,21,1807,70537.31,2,39.27422090169505
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
9,1491.2,0,0.0,57,75,0,0.0,30,54.422001585343025
0,0.0,0,0.0,145,461,0,0.0,42,54.72348207465407
0,0.0,2,131.85,10,10,1598,76448.74,0,14.986128333837874
2,1619.15,0,0.0,7,17,512,39628.46000000001,0,15.622406514680339
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
37,104841.26999999999,3,43.0,0,0,0,0.0,0,26.023325648826624
0,0.0,0,0.0,11,15,1280,111491.8,0,9.472730339326827
20,15492.46,14,8095.179999999999,76,109,2078,261951.36,36,69.97823131449616
0,0.0,24,10201.33,2,2,1102,66979.78,0,20.853722351642073
5,1373.48,29,3782.08,56,88,0,0.0,0,35.28228270109909
0,0.0,44,3010.57,0,0,157,9050.03,0,17.944233820371036
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,23,31,0,0.0,0,12.282481030218445
0,0.0,0,0.0,38,40,349,13378.359999999999,0,13.586888671739553
1,469.5,0,0.0,43,56,36,2200.12,0,18.46396835817653
0,0.0,0,0.0,18,20,729,63159.42,24,38.47748297923361
7,2827.52,14,2221.0,25,43,119,5480.97,36,63.59678723198109
0,0.0,0,0.0,0,0,42,1712.6599999999999,0,4.881393757594946
0,0.0,0,0.0,8,12,0,0.0,24,38.1290948236607
6,721.72,4,490.0,131,178,2499,125538.70000000001,6,50.27312653408625
3,1663.04,71,1031.91,90,188,711,35778.42,0,38.185743277784525
0,0.0,0,0.0,7,8,332,13480.58,12,32.117183047214006
0,0.0,0,0.0,10,23,63,1318.4,18,36.967058541730324
2,1786.76,50,2770.1400000000003,60,70,93,2888.0600000000004,0,34.787041715225286
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,5,6,22,330.0,12,31.8840743618099
0,0.0,43,10908.39,30,40,89,81803.65,12,46.46018530064116
0,0.0,6,1872.01,35,38,618,23865.760000000002,12,43.71188619436575
1,110.0,7,944.3,34,40,0,0.0,12,47.52600835230241
0,0.0,0,0.0,15,21,286,21835.5,12,32.993507674975966
0,0.0,109,17628.46,35,49,182,23890.93,0,31.94199805213875
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
30,37335.4,211,13244.71,83,116,2136,199390.52000000002,12,74.07172685559621
0,0.0,0,0.0,6,8,0,0.0,42,43.27596216399961
0,0.0,0,0.0,26,77,510,23055.25,0,13.92144303495179
1,77.1,36,7487.0,102,178,978,46280.899999999994,6,53.779137277603496
0,0.0,4,36.57,48,70,84,876.6800000000001,18,46.06054862078515
0,0.0,12,3761.11,63,88,3613,111673.77000000002,6,44.281939747956415
0,0.0,0,0.0,41,46,2139,79973.86,0,14.195407856251173
0,0.0,13,2845.27,3,4,2373,82856.64000000001,0,19.319318819719953
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,5,12,0,0.0,4,25.175581035616165
0,0.0,0,0.0,0,0,0,0.0,12,26.975430824799414
0,0.0,3,364.0,76,92,102,17749.0,0,20.229642917587288
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
11,12754.369999999999,0,0.0,95,160,0,0.0,12,50.06907262372555
0,0.0,0,0.0,3,4,0,0.0,0,8.572757485135092
0,0.0,0,0.0,8,8,0,0.0,0,9.796233412881291
0,0.0,58,2777.99,91,100,1965,47857.84,0,31.79813233416413
0,0.0,0,0.0,32,37,723,21854.32,0,13.648335538102586
0,0.0,0,0.0,0,0,0,0.0,6,22.394415164647725
1,507.04,90,4796.48,109,211,474,12352.23,6,57.81173986429126
0,0.0,0,0.0,19,24,0,0.0,24,39.7188748867554
1,49.75,18,9346.0,55,77,1400,88518.81,6,48.85326785259805
0,0.0,0,0.0,9,9,0,0.0,0,9.997502521394532
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,9,18,29,558.67,0,11.093396473363024
0,0.0,0,0.0,9,9,0,0.0,25,38.358178403407464
0,0.0,0,0.0,44,62,0,0.0,12,36.37313170739099
0,0.0,0,0.0,38,61,0,0.0,0,13.924836744246873
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,1133,50326.44,0,4.956705093685461
0,0.0,0,0.0,14,14,0,0.0,12,33.032673928518754
0,0.0,0,0.0,35,40,0,0.0,12,35.379240333031376
0,0.0,2,170.0,0,0,594,22342.940000000002,0,9.999090154070919
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
1,249.14,0,0.0,1,1,343,16124.22,6,29.517368552361656
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
4,5000.0,49,2651.06,0,0,414,9687.51,0,26.721572871068826
0,0.0,0,0.0,56,71,1476,47279.86,6,33.19375936739688
0,0.0,6,315.86,81,165,1386,31765.809999999998,5,41.67131696502184
24,4694.8,326,13474.79,96,300,1065,13352.859999999999,6,76.43061184942896
0,0.0,27,1001.56,92,232,842,23221.280000000002,6,47.38047492156804
0,0.0,0,0.0,57,69,0,0.0,0,14.75276478152583
0,0.0,0,0.0,104,169,1913,41907.05,7,37.69460938265553
0,0.0,0,0.0,15,15,70,3019.4100000000003,6,28.686710534695617
0,0.0,0,0.0,0,0,103,6008.43,0,4.628923252533589
11,3347.41,7,2324.9,23,28,0,0.0,6,48.4931164878746
1,925.39,9,575.6,94,206,1683,23332.210000000003,12,54.734022932192985
0,0.0,0,0.0,11,18,0,0.0,0,10.846461346417513
0,0.0,0,0.0,34,45,392,41025.369999999995,5,28.797082033030087
3,17866.47,0,0.0,28,46,0,0.0,0,20.43825623429516
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
7,70232.08,1,200.0,36,52,0,0.0,12,50.08571344605646
0,0.0,0,0.0,21,27,0,0.0,0,11.999681496553478
0,0.0,30,1962.0,86,176,2452,96666.98,0,29.5131886485973
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,4,220.0,43,63,2667,40814.54,4,37.77567415938225
3,4600.0,12,5500.0,68,123,0,0.0,12,55.91629366855974
0,0.0,0,0.0,1,1,0,0.0,0,7.28300288962329
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
2,220.73,1,25.66,20,27,25,1094.5,12,43.3491784088709
0,0.0,0,0.0,7,11,0,0.0,0,9.959449158537689
0,0.0,0,0.0,26,34,1084,59020.869999999995,18,37.795008892881484
0,0.0,0,0.0,1,1,0,0.0,0,7.28300288962329
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,61,8961.03,77,102,2945,97444.92,0,32.90859909211617
0,0.0,0,0.0,2,3,0,0.0,6,25.784828653453914
0,0.0,0,0.0,29,36,125,13328.25,0,12.007830043738641
1,1000.0,45,6819.629999999999,43,66,1,896.66,18,58.03380094103994
0,0.0,0,0.0,15,17,0,0.0,6,28.721624210982533
0,0.0,120,18044.9,79,117,56,6388.01,6,53.36885438785782
2,183.6,5,190.93,122,216,1395,45791.54,6,48.65899807319025
0,0.0,0,0.0,50,63,0,0.0,0,14.390952351015295
0,0.0,27,1134.3000000000002,0,0,717,30723.34,0,15.856672666337573
0,0.0,0,0.0,13,14,14,126.63000000000001,18,36.714390374376265
0,0.0,0,0.0,4,5,2,5.98,12,31.515159588447208
0,0.0,0,0.0,56,65,0,0.0,6,32.24902640168129
0,0.0,0,0.0,5,5,0,0.0,12,31.272994568024288
0,0.0,0,0.0,0,0,153,3099.8599999999997,0,5.486936870557944
0,0.0,10,211.03,0,0,0,0.0,0,12.202149759885105
1,433.3,0,0.0,0,0,158,5189.67,0,9.739182579912027
0,0.0,42,6787.03,46,59,778,19456.329999999998,6,47.02711433934718
0,0.0,0,0.0,0,0,3374,169593.39,0,4.720322917886833
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,12,26.975430824799414
0,0.0,0,0.0,41,47,613,24267.51,12,36.15254631748953
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,17,19,67,12972.559999999998,6,27.750545190314146
43,19416.750000000004,30,10631.0,29,38,0,0.0,18,68.43673886563778
0,0.0,0,0.0,22,29,0,0.0,0,12.143906201693081
0,0.0,0,0.0,5,6,0,0.0,4,24.59547807816544
0,0.0,0,0.0,15,19,0,0.0,12,33.4219256883566
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,4,896.21,84,145,603,-564.3099999999998,0,29.20287970117547
0,0.0,519,26983.859999999997,117,195,2373,22890.079999999998,0,50.72918594347219
0,0.0,0,0.0,0,0,0,0.0,6,22.394415164647725
0,0.0,71,2589.96,62,125,1327,42865.29,36,63.62367763715287
9,6728.5,36,4884.11,0,0,0,0.0,0,27.8185971328136
2,200.0,15,1276.8200000000002,37,43,795,21028.3,0,29.39409416449884
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
14,7213.0,16,868.8199999999999,48,60,778,34303.13,6,52.53791924218338
0,0.0,0,0.0,116,204,2129,51592.19,0,19.68473151196195
6,202.88,0,0.0,44,68,1048,14522.71,0,24.160480785805856
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
11,6316.289999999999,0,0.0,11,12,0,0.0,0,20.772945574680325
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,79,144,707,53262.63,6,33.64017439496743
7,935.8599999999999,2,200.0,38,49,3070,92619.45999999999,0,28.25841668066288
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,21,4440.32,51,150,543,2112.280000000001,4,45.565571272935166
0,0.0,0,0.0,7,9,0,0.0,6,27.4073541725943
0,0.0,1,29.95,97,172,2257,64538.240000000005,6,39.80150962667908
0,0.0,25,3455.86,71,119,922,-10854.6,6,53.8050639905981
9,707.15,7,89.0,0,0,1472,22831.340000000004,0,22.34123307467376
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
2,414.47,0,0.0,15,15,483,43220.34,6,33.40477276652141
0,0.0,0,0.0,15,24,372,17810.219999999998,6,29.14346577741729
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,96,192,0,0.0,24,45.716639838492256
0,0.0,4,315.0,26,31,175,2248.9,12,41.76404995317735
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,22,32,0,0.0,0,12.26978174597416
5,2567.2200000000003,8,170.3,81,195,972,38623.509999999995,0,32.63610509152213
0,0.0,0,0.0,1,1,26,1820.0,0,7.091437725329385
0,0.0,87,6685.389999999999,123,870,2090,42209.58,0,41.50434962609937
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,21,26,0,0.0,12,34.15927648243342
0,0.0,0,0.0,62,107,0,0.0,18,41.10577110822094
1,600.0,2,543.13,20,23,0,0.0,0,21.89351704129447
0,0.0,0,0.0,9,11,0,0.0,0,10.17424030562036
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,19,21,0,0.0,0,11.58726336741731
5,200.0,39,1307.1200000000001,120,322,1219,22239.42,0,40.73498201255232
0,0.0,0,0.0,16,18,1,70.59,5,27.74575955963383
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,22,29,1006,35764.44,0,12.685242149846301
11,1623.12,20,3046.56,92,204,2263,152046.5,0,38.14960777234797
0,0.0,18,933.0899999999999,101,196,1142,123666.07999999999,6,43.53646193882618
0,0.0,1,1.0,83,178,2409,30134.18,0,22.873081147537885
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
1,191.06,77,4670.51,39,60,1403,39739.46000000001,12,57.545125873627214
0,0.0,0,0.0,0,0,0,0.0,0,4.769772366365281
0,0.0,0,0.0,24,30,324,28678.26,0,11.52054400318192
