Remote_Dep_Ct,Remote_Dep_Amt,OnlineWallet_Tx,OnlineWallet_Dollars,DigLogins_UniqDays,DigLogins_TotalLogins,DebitCard_Tx,DebitCard_Spend,Alerts_enrolled
0,0.0,45,1595.71,96,171,2329,65173.66,1
4,118.91000000000001,22,3024.8999999999996,53,67,1496,49645.46,6
0,0.0,41,846.6099999999999,10,12,220,224.25999999999988,6
0,0.0,37,105477.87,0,0,0,0.0,0
15,54965.12,0,0.0,43,57,48,2485.4700000000003,30
7,3878.0,22,8676.25,48,64,1833,68534.66,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,65,78,1486,56252.259999999995,0
4,780.0,18,1840.3899999999999,39,59,914,26993.699999999997,36
0,0.0,9,25572.46,20,26,102,77757.58,0
0,0.0,0,0.0,33,35,0,0.0,12
0,0.0,0,0.0,24,26,147,3932.3599999999997,6
0,0.0,59,2501.72,110,226,2031,42461.79,0
0,0.0,0,0.0,22,25,490,46060.05,0
1,846.82,10,1087.0,112,181,1664,33908.86,26
0,0.0,12,9250.0,109,192,2727,257396.09000000003,6
2,325.0,0,0.0,51,64,0,0.0,6
1,43.28,4,231.25,64,100,954,11171.289999999999,0
0,0.0,0,0.0,31,67,0,0.0,6
2,4296.67,21,1669.06,10,12,2468,66212.93,12
0,0.0,0,0.0,11,11,20,1054.48,12
0,0.0,0,0.0,59,120,1514,27292.15,12
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,2,6,125,9966.32,0
0,0.0,2,71.94,42,52,667,43152.52,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,25,1241.1599999999999,105,181,2696,52341.600000000006,6
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,7,11,0,0.0,12
0,0.0,0,0.0,0,0,684,22797.1,0
0,0.0,0,0.0,0,0,0,0.0,0
1,125.0,45,813.55,38,53,3,6.39,30
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,78,100,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,7,8,0,0.0,0
0,0.0,0,0.0,75,107,276,1846.8899999999999,0
0,0.0,16,2465.85,37,48,2005,180030.88,0
0,0.0,0,0.0,4,4,1,5.94,6
0,0.0,0,0.0,19,25,0,0.0,12
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,57,76,2576,67601.88,12
0,0.0,0,0.0,70,103,276,7962.73,18
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,47,1432.35,27,68,701,24069.460000000003,0
0,0.0,0,0.0,32,38,0,0.0,12
0,0.0,17,2650.5,105,221,2387,73413.45999999999,1
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
3,2580.0,0,0.0,75,157,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,24,31,0,0.0,0
0,0.0,0,0.0,7,7,0,0.0,18
0,0.0,6,266.77,23,28,0,0.0,5
2,1005.08,6,1881.17,67,91,935,25899.91,6
0,0.0,0,0.0,2,3,0,0.0,0
0,0.0,0,0.0,20,22,0,0.0,0
3,2100.0,0,0.0,8,14,1,147.0,0
0,0.0,0,0.0,15,16,0,0.0,12
0,0.0,11,1823.99,53,87,702,90229.65,4
0,0.0,0,0.0,26,35,20,66.1,12
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,20,26,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,49,71,162,42485.869999999995,0
0,0.0,0,0.0,0,0,26,8990.02,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,11,11,357,34692.229999999996,24
0,0.0,0,0.0,5,6,642,8132.0,0
0,0.0,0,0.0,0,0,954,40478.75,0
0,0.0,0,0.0,0,0,0,0.0,18
0,0.0,77,6230.43,0,0,877,63310.270000000004,0
6,3197.0,54,896.42,107,156,0,0.0,0
0,0.0,0,0.0,11,11,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,22,3982.0,0
1,100.0,19,1295.69,7,7,9,123.21,6
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,13,15,0,0.0,0
0,0.0,8,2132.99,33,41,4,58.03,0
0,0.0,0,0.0,16,19,36,7462.43,6
3,1337.01,34,1218.54,69,91,1959,56009.520000000004,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,2,2,0,0.0,66
0,0.0,10,7771.16,62,121,121,2185.5,0
0,0.0,1,96.04,13,16,1026,55916.170000000006,30
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,1408,27392.11,0
3,65.15,1,100.0,73,92,1767,94547.33,0
0,0.0,0,0.0,46,62,0,0.0,12
0,0.0,2,520.0,48,61,626,31586.54,12
0,0.0,86,2595.7999999999997,105,140,1815,73329.79000000001,30
0,0.0,0,0.0,12,20,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
3,872.0,46,4758.62,79,94,1672,63765.450000000004,60
0,0.0,0,0.0,0,0,0,0.0,6
0,0.0,0,0.0,0,0,0,0.0,6
0,0.0,18,824.7099999999999,0,0,338,3692.71,0
7,1293.56,5,193.17000000000002,0,0,1538,103685.4,0
0,0.0,0,0.0,35,43,24,517.14,0
0,0.0,39,2365.58,32,47,2202,103560.78,6
2,3928.13,51,8534.03,48,164,5574,115218.31,26
1,700.0,11,285.36,68,188,509,9561.21,9
0,0.0,4,390.0,0,0,2,501.49,0
0,0.0,0,0.0,0,0,0,0.0,12
3,9800.45,23,4098.3,23,35,2106,83106.35,11
0,0.0,0,0.0,38,46,7,772.8799999999999,0
0,0.0,0,0.0,0,0,0,0.0,6
0,0.0,0,0.0,14,16,0,0.0,18
0,0.0,0,0.0,1,1,0,0.0,12
0,0.0,0,0.0,5,7,0,0.0,0
4,472.19,0,0.0,0,0,193,5053.71,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,9,163.4,0
0,0.0,0,0.0,0,0,0,0.0,0
1,453.0,46,2334.33,69,91,3959,101764.28,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,11,540.52,15,16,1827,111544.81999999998,6
10,13740.67,7,520.0,101,177,1132,50687.83,6
0,0.0,9,446.19,63,98,1197,20174.190000000002,0
0,0.0,0,0.0,2,2,0,0.0,6
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,8,350.66999999999996,38,67,270,1200.6599999999999,0
8,1982.5,39,4545.900000000001,108,216,1527,70457.41,6
0,0.0,11,530.25,17,21,6,145.35,6
0,0.0,0,0.0,30,36,0,0.0,0
0,0.0,0,0.0,0,0,196,8261.99,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,65,6658.9,133,344,2910,90527.03,6
0,0.0,24,1071.77,81,149,468,2149.45,6
0,0.0,0,0.0,5,5,9,99.03,12
0,0.0,0,0.0,4,5,0,0.0,54
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,140,289,0,0.0,12
0,0.0,0,0.0,0,0,222,9429.810000000001,0
0,0.0,0,0.0,121,252,1651,49566.74,12
0,0.0,44,1060.91,32,45,759,22228.06,0
0,0.0,0,0.0,30,34,0,0.0,20
0,0.0,2,450.0,32,41,1887,75969.55,0
0,0.0,6,200.4,66,92,1545,86279.14000000001,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,47,4823.97,40,49,2372,99705.65,0
0,0.0,32,1176.8,60,99,754,21288.66,6
5,236.0,1,40.0,34,43,256,10262.189999999999,0
3,740.42,0,0.0,30,46,280,15524.34,4
0,0.0,0,0.0,0,0,1277,54629.369999999995,0
4,2999.0,0,0.0,36,63,346,12580.880000000001,12
0,0.0,0,0.0,32,36,1164,51421.92,12
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,1,405.0,99,174,2058,86293.19,12
0,0.0,11,704.12,62,85,1812,57969.72,6
0,0.0,0,0.0,8,9,0,0.0,30
0,0.0,0,0.0,36,62,347,14549.539999999999,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,11,17,-39,-464.0,30
0,0.0,38,566.0,0,0,821,15646.510000000002,0
0,0.0,0,0.0,0,0,0,0.0,6
0,0.0,0,0.0,93,169,2320,60670.17,6
11,4247.86,61,1123.02,66,104,1404,40540.66,0
0,0.0,0,0.0,20,27,1090,28199.230000000003,0
17,4374.61,0,0.0,86,189,736,28607.53,0
0,0.0,0,0.0,1,1,0,0.0,6
0,0.0,0,0.0,10,11,0,0.0,0
0,0.0,0,0.0,0,0,59,1939.88,0
0,0.0,0,0.0,0,0,0,0.0,0
1,155.03,39,10475.99,142,523,3009,188676.86,6
5,3385.0,4,665.0,50,67,456,22153.04,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,2,0.02,24,36,0,0.0,0
0,0.0,7,9350.0,17,24,188,1019.74,0
1,82.1,23,1257.99,19,21,1807,70537.31,2
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
9,1491.2,0,0.0,57,75,0,0.0,30
0,0.0,0,0.0,145,461,0,0.0,42
0,0.0,2,131.85,10,10,1598,76448.74,0
2,1619.15,0,0.0,7,17,512,39628.46000000001,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
37,104841.26999999999,3,43.0,0,0,0,0.0,0
0,0.0,0,0.0,11,15,1280,111491.8,0
20,15492.46,14,8095.179999999999,76,109,2078,261951.36,36
0,0.0,24,10201.33,2,2,1102,66979.78,0
5,1373.48,29,3782.08,56,88,0,0.0,0
0,0.0,44,3010.57,0,0,157,9050.03,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,23,31,0,0.0,0
0,0.0,0,0.0,38,40,349,13378.359999999999,0
1,469.5,0,0.0,43,56,36,2200.12,0
0,0.0,0,0.0,18,20,729,63159.42,24
7,2827.52,14,2221.0,25,43,119,5480.97,36
0,0.0,0,0.0,0,0,42,1712.6599999999999,0
0,0.0,0,0.0,8,12,0,0.0,24
6,721.72,4,490.0,131,178,2499,125538.70000000001,6
3,1663.04,71,1031.91,90,188,711,35778.42,0
0,0.0,0,0.0,7,8,332,13480.58,12
0,0.0,0,0.0,10,23,63,1318.4,18
2,1786.76,50,2770.1400000000003,60,70,93,2888.0600000000004,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,5,6,22,330.0,12
0,0.0,43,10908.39,30,40,89,81803.65,12
0,0.0,6,1872.01,35,38,618,23865.760000000002,12
1,110.0,7,944.3,34,40,0,0.0,12
0,0.0,0,0.0,15,21,286,21835.5,12
0,0.0,109,17628.46,35,49,182,23890.93,0
0,0.0,0,0.0,0,0,0,0.0,0
30,37335.4,211,13244.71,83,116,2136,199390.52000000002,12
0,0.0,0,0.0,6,8,0,0.0,42
0,0.0,0,0.0,26,77,510,23055.25,0
1,77.1,36,7487.0,102,178,978,46280.899999999994,6
0,0.0,4,36.57,48,70,84,876.6800000000001,18
0,0.0,12,3761.11,63,88,3613,111673.77000000002,6
0,0.0,0,0.0,41,46,2139,79973.86,0
0,0.0,13,2845.27,3,4,2373,82856.64000000001,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,5,12,0,0.0,4
0,0.0,0,0.0,0,0,0,0.0,12
0,0.0,3,364.0,76,92,102,17749.0,0
0,0.0,0,0.0,0,0,0,0.0,0
11,12754.369999999999,0,0.0,95,160,0,0.0,12
0,0.0,0,0.0,3,4,0,0.0,0
0,0.0,0,0.0,8,8,0,0.0,0
0,0.0,58,2777.99,91,100,1965,47857.84,0
0,0.0,0,0.0,32,37,723,21854.32,0
0,0.0,0,0.0,0,0,0,0.0,6
1,507.04,90,4796.48,109,211,474,12352.23,6
0,0.0,0,0.0,19,24,0,0.0,24
1,49.75,18,9346.0,55,77,1400,88518.81,6
0,0.0,0,0.0,9,9,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,9,18,29,558.67,0
0,0.0,0,0.0,9,9,0,0.0,25
0,0.0,0,0.0,44,62,0,0.0,12
0,0.0,0,0.0,38,61,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,1133,50326.44,0
0,0.0,0,0.0,14,14,0,0.0,12
0,0.0,0,0.0,35,40,0,0.0,12
0,0.0,2,170.0,0,0,594,22342.940000000002,0
0,0.0,0,0.0,0,0,0,0.0,0
1,249.14,0,0.0,1,1,343,16124.22,6
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
4,5000.0,49,2651.06,0,0,414,9687.51,0
0,0.0,0,0.0,56,71,1476,47279.86,6
0,0.0,6,315.86,81,165,1386,31765.809999999998,5
24,4694.8,326,13474.79,96,300,1065,13352.859999999999,6
0,0.0,27,1001.56,92,232,842,23221.280000000002,6
0,0.0,0,0.0,57,69,0,0.0,0
0,0.0,0,0.0,104,169,1913,41907.05,7
0,0.0,0,0.0,15,15,70,3019.4100000000003,6
0,0.0,0,0.0,0,0,103,6008.43,0
11,3347.41,7,2324.9,23,28,0,0.0,6
1,925.39,9,575.6,94,206,1683,23332.210000000003,12
0,0.0,0,0.0,11,18,0,0.0,0
0,0.0,0,0.0,34,45,392,41025.369999999995,5
3,17866.47,0,0.0,28,46,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
7,70232.08,1,200.0,36,52,0,0.0,12
0,0.0,0,0.0,21,27,0,0.0,0
0,0.0,30,1962.0,86,176,2452,96666.98,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,4,220.0,43,63,2667,40814.54,4
3,4600.0,12,5500.0,68,123,0,0.0,12
0,0.0,0,0.0,1,1,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
2,220.73,1,25.66,20,27,25,1094.5,12
0,0.0,0,0.0,7,11,0,0.0,0
0,0.0,0,0.0,26,34,1084,59020.869999999995,18
0,0.0,0,0.0,1,1,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,61,8961.03,77,102,2945,97444.92,0
0,0.0,0,0.0,2,3,0,0.0,6
0,0.0,0,0.0,29,36,125,13328.25,0
1,1000.0,45,6819.629999999999,43,66,1,896.66,18
0,0.0,0,0.0,15,17,0,0.0,6
0,0.0,120,18044.9,79,117,56,6388.01,6
2,183.6,5,190.93,122,216,1395,45791.54,6
0,0.0,0,0.0,50,63,0,0.0,0
0,0.0,27,1134.3000000000002,0,0,717,30723.34,0
0,0.0,0,0.0,13,14,14,126.63000000000001,18
0,0.0,0,0.0,4,5,2,5.98,12
0,0.0,0,0.0,56,65,0,0.0,6
0,0.0,0,0.0,5,5,0,0.0,12
0,0.0,0,0.0,0,0,153,3099.8599999999997,0
0,0.0,10,211.03,0,0,0,0.0,0
1,433.3,0,0.0,0,0,158,5189.67,0
0,0.0,42,6787.03,46,59,778,19456.329999999998,6
0,0.0,0,0.0,0,0,3374,169593.39,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,12
0,0.0,0,0.0,41,47,613,24267.51,12
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,17,19,67,12972.559999999998,6
43,19416.750000000004,30,10631.0,29,38,0,0.0,18
0,0.0,0,0.0,22,29,0,0.0,0
0,0.0,0,0.0,5,6,0,0.0,4
0,0.0,0,0.0,15,19,0,0.0,12
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,4,896.21,84,145,603,-564.3099999999998,0
0,0.0,519,26983.859999999997,117,195,2373,22890.079999999998,0
0,0.0,0,0.0,0,0,0,0.0,6
0,0.0,71,2589.96,62,125,1327,42865.29,36
9,6728.5,36,4884.11,0,0,0,0.0,0
2,200.0,15,1276.8200000000002,37,43,795,21028.3,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
14,7213.0,16,868.8199999999999,48,60,778,34303.13,6
0,0.0,0,0.0,116,204,2129,51592.19,0
6,202.88,0,0.0,44,68,1048,14522.71,0
0,0.0,0,0.0,0,0,0,0.0,0
11,6316.289999999999,0,0.0,11,12,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,79,144,707,53262.63,6
7,935.8599999999999,2,200.0,38,49,3070,92619.45999999999,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,21,4440.32,51,150,543,2112.280000000001,4
0,0.0,0,0.0,7,9,0,0.0,6
0,0.0,1,29.95,97,172,2257,64538.240000000005,6
0,0.0,25,3455.86,71,119,922,-10854.6,6
9,707.15,7,89.0,0,0,1472,22831.340000000004,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
2,414.47,0,0.0,15,15,483,43220.34,6
0,0.0,0,0.0,15,24,372,17810.219999999998,6
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,96,192,0,0.0,24
0,0.0,4,315.0,26,31,175,2248.9,12
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,22,32,0,0.0,0
5,2567.2200000000003,8,170.3,81,195,972,38623.509999999995,0
0,0.0,0,0.0,1,1,26,1820.0,0
0,0.0,87,6685.389999999999,123,870,2090,42209.58,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,21,26,0,0.0,12
0,0.0,0,0.0,62,107,0,0.0,18
1,600.0,2,543.13,20,23,0,0.0,0
0,0.0,0,0.0,9,11,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,19,21,0,0.0,0
5,200.0,39,1307.1200000000001,120,322,1219,22239.42,0
0,0.0,0,0.0,16,18,1,70.59,5
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,22,29,1006,35764.44,0
11,1623.12,20,3046.56,92,204,2263,152046.5,0
0,0.0,18,933.0899999999999,101,196,1142,123666.07999999999,6
0,0.0,1,1.0,83,178,2409,30134.18,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
1,191.06,77,4670.51,39,60,1403,39739.46000000001,12
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,24,30,324,28678.26,0
0,0.0,0,0.0,0,0,188,14439.550000000001,0
0,0.0,0,0.0,14,21,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,3173,39836.100000000006,0
2,1115.09,0,0.0,20,31,0,0.0,12
0,0.0,0,0.0,0,0,0,0.0,0
2,200.0,0,0.0,106,165,18,40806.0,6
0,0.0,17,877.04,99,187,463,14625.050000000001,0
5,4032.56,53,1975.26,34,58,3382,73525.29,18
2,515.0,22,3472.17,26,29,725,44331.11,0
0,0.0,5,281.49,33,52,0,0.0,24
0,0.0,101,18733.56,14,16,0,0.0,0
0,0.0,0,0.0,52,66,0,0.0,12
9,25210.59,14,2357.51,29,43,0,0.0,0
0,0.0,0,0.0,138,242,0,0.0,0
0,0.0,0,0.0,0,0,527,44205.96,0
5,11000.0,0,0.0,23,31,727,80093.09,90
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
19,41125.47,4,717.29,36,65,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
4,29500.0,23,7665.110000000001,0,0,1177,159436.87,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
2,175.0,15,4135.0,48,52,0,0.0,12
6,1314.0,34,2426.85,85,141,1946,94661.34,24
0,0.0,0,0.0,44,68,688,6221.9,3
0,0.0,0,0.0,0,0,0,0.0,0
27,194611.64999999997,5,197.89,36,43,1424,74928.44,0
0,0.0,0,0.0,50,54,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,1,1,0,0.0,12
7,5570.0,86,5095.4,26,41,1335,55131.36,30
0,0.0,27,2281.15,94,186,656,30572.22,12
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,2,165.45,103,246,1740,109103.63,0
0,0.0,0,0.0,0,0,0,0.0,0
28,116852.19,10,4530.0,55,78,395,45558.67,60
4,4498.97,5,117.98,0,0,0,0.0,0
4,20307.42,10,3820.7799999999997,93,163,4,-1437.78,6
4,11861.130000000001,4,717.23,17,22,19,1011.37,6
0,0.0,3,63.9,121,271,1950,48552.3,8
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,148,147870.52000000002,0
22,9460.59,15,4576.950000000001,111,170,1802,75972.81,0
0,0.0,0,0.0,4,4,0,0.0,30
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,5,5,869,26480.68,18
0,0.0,99,14331.62,43,53,540,24483.480000000003,12
0,0.0,60,773.12,112,234,649,16403.370000000003,6
0,0.0,1,100.0,23,24,5540,136632.5,0
2,58.6,266,7254.6,65,74,3791,115832.89000000001,18
0,0.0,0,0.0,41,51,203,4698.81,0
0,0.0,2,60.0,0,0,639,15484.269999999999,0
10,6470.18,31,2259.08,83,112,1925,36930.07,4
0,0.0,0,0.0,0,0,0,0.0,0
1,4952.8,12,1398.78,9,16,135,552.67,6
12,18504.23,7,1726.0,100,130,2413,180746.19,6
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,6
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,761,11708.51,0
0,0.0,0,0.0,0,0,2,13.39,0
0,0.0,0,0.0,8,9,0,0.0,12
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,14,2723.41,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,8,381.32000000000005,18,18,0,0.0,30
0,0.0,15,368.17,71,100,941,39723.9,12
2,79.0,73,1743.3,77,126,4,38.150000000000006,6
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,23,33,0,0.0,48
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,41,54,59,2127.58,0
0,0.0,75,10827.0,0,0,728,30522.38,0
0,0.0,15,4638.64,78,124,858,-14886.350000000002,0
0,0.0,0,0.0,74,191,433,42465.520000000004,9
0,0.0,0,0.0,0,0,19,395.39,0
0,0.0,50,1068.4,13,27,202,11637.35,3
0,0.0,2,65.0,97,180,968,30720.35,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,10,287.46000000000004,84,155,1040,31189.010000000002,0
0,0.0,0,0.0,12,13,0,0.0,0
0,0.0,0,0.0,17,25,1,80.0,0
0,0.0,0,0.0,78,142,1514,23220.91,0
3,144.75,15,923.77,35,80,874,46942.56,6
0,0.0,0,0.0,61,113,0,0.0,12
1,296.89,0,0.0,69,98,0,0.0,6
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,15,17,0,0.0,0
0,0.0,0,0.0,14,19,0,0.0,10
1,3050.0,18,653.78,59,79,0,0.0,0
1,43.73,0,0.0,58,68,1141,68498.48,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,30,2267.58,97,222,1902,70066.85999999999,0
0,0.0,0,0.0,80,123,696,10032.75,6
0,0.0,0,0.0,6,7,0,0.0,8
0,0.0,61,2254.45,65,79,1290,20903.1,6
0,0.0,0,0.0,0,0,0,0.0,0
1,2700.0,15,295.75,119,220,1420,13291.400000000001,0
2,100.0,0,0.0,30,40,1453,43975.95,12
0,0.0,0,0.0,46,50,17,1567.1299999999999,0
0,0.0,0,0.0,0,0,0,0.0,0
9,2804.89,107,1230.54,0,0,0,0.0,0
0,0.0,9,190.11999999999998,21,37,2,79.7,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,4,42.54,15,18,17,4623.9800000000005,12
0,0.0,4,67.25,0,0,416,11051.239999999998,0
0,0.0,1,61.81,70,77,408,9553.05,0
10,20110.149999999998,17,20166.45,19,35,3,685.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,0,0,11,226.76,0
13,5689.3,0,0.0,23,25,1218,34937.93,6
0,0.0,0,0.0,0,0,0,0.0,18
1,500.0,0,0.0,44,66,27,643.58,32
0,0.0,0,0.0,0,0,0,0.0,0
0,0.0,0,0.0,1,1,0,0.0,24
0,0.0,0,0.0,3,5,0,0.0,12
